Tub,Building,Unknown,kBtu.00,MTCDE.00,kBtu.01,MTCDE.01,kBtu.02,MTCDE.02,kBtu.03,MTCDE.03,kBtu.04,MTCDE.04,kBtu.05,MTCDE.05,kBtu.06,MTCDE.06,kBtu.07,MTCDE.07,kBtu.08,MTCDE.08,kBtu.09,MTCDE.09,kBtu.10,MTCDE.10,kBtu.11,MTCDE.11,kBtu.12,MTCDE.12,kBtu.13,MTCDE.13,kBtu.14,MTCDE.14,kBtu.15,MTCDE.15,kBtu.16,MTCDE.16,kBtu.17,MTCDE.17,kBtu.18,MTCDE.18,kBtu.19,MTCDE.19,kBtu.20,MTCDE.20,kBtu.21,MTCDE.21
0,1201 Mass Ave (prev The Inn At Harvard) (06068; B-189),96592,2491488,52.3,2278080,47.8,2509056,52.6,2171808,45.5,2079648,43.6,2161411,45.3,2075069,43.5,1927584,40.4,1478304,31.0,1472832,30.9,1332605,27.9,1896192,39.8,1594742,33.4,1410797,29.6,345324,7.2,,,,,,,,,,,,,,
0,Rosovsky Hall (04552; B-380),9298,1603746,183.3,1666632,190.5,1363698,155.9,1327735,151.8,1587181,181.4,1267343,144.9,1453505,166.1,1393730,159.3,1576791,180.2,1558718,178.2,1745450,199.5,1529429,174.8,1676524,191.6,1562177,178.6,1268097,144.9,1460414,166.9,1471490,168.2,1468470,167.8,1514113,173.1,1638002,187.2,1596469,182.5,882502,100.9
0,Shaw Hall (02573; B-563),19031,83676,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,485 Broadway (aka Sackler Museum) (00100; B-340),69797,9398924,688.6,9342382,693.7,8710930,640.7,9216914,671.2,8626764,655.8,8159845,625.7,8185993,646.2,9060042,657.7,9159588,645.0,8810099,645.6,8574904,630.3,8999199,616.8,10336486,688.9,9198326,619.7,8711194,585.3,,,,,,,,,,,,,,
105,Adolphus Busch Hall (00107; B-475),57896,304094,22.4,317658,23.1,193743,14.9,337562,24.7,317459,23.7,344447,25.5,285831,21.4,255008,19.0,287897,21.3,369766,26.6,332176,23.7,247207,17.9,133584,10.2,194845,14.4,304152,21.7,440021,30.9,244164,17.7,305995,22.5,361484,26.0,356899,25.5,176924,12.9,86589,6.2
150,Dunster Kitchen (00891; B-928),,6118289,511.7,6700093,536.2,7192765,578.3,7274378,558.2,6757854,533.0,6925267,555.6,6210276,491.4,5501533,447.8,5375935,431.4,5630148,448.6,4393939,357.3,4645717,374.3,4431617,361.1,3894825,321.3,4363157,349.6,4211812,321.8,5125840,391.9,4858406,374.1,5063624,390.9,4197434,337.7,3739583,296.5,1657716,133.9
150,Lowell Kitchen (00891; B-904),,4895917,355.9,3767279,261.0,4257583,303.4,4779268,375.2,4677437,368.5,3782670,300.9,2896173,237.4,2795707,232.6,5591120,426.1,4659321,360.3,3686724,290.6,3969120,311.1,4197380,326.9,4412243,342.4,3187747,256.4,4410273,344.8,3918062,314.2,3525862,277.8,4166,0.5,0,0.0,1074974,87.3,245729,22.1
150,Memorial Hall (04400; B-105),127537,10391451,759.7,10019612,664.0,7679980,468.5,8517520,522.9,7283940,443.7,7937990,479.9,5653840,361.0,4790260,311.0,6781520,434.9,5199570,332.1,5841180,378.2,6052650,395.1,2694520,164.9,1179700,62.8,1165200,62.0,1170600,62.3,1100200,58.5,1122000,59.7,1180200,62.8,1318000,70.1,1340300,71.3,664800,35.4
150,Moors Kitchen (00891; B-532),,4126762,345.8,5952644,494.0,5018782,414.8,5708050,468.4,5838121,476.7,5752814,452.6,5548701,456.4,5430774,437.6,5578706,411.1,6046039,438.2,4717597,356.1,5144594,364.4,4502021,330.3,4722875,329.9,5001674,345.0,5106502,351.8,4999912,359.2,5139233,364.9,5538516,405.1,5148558,367.0,4395467,313.5,2154817,150.8
150,Quincy House (03310; B-969),,305852,35.0,278951,31.9,85491,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
